idade,salario_anual,num_contas,num_cartoes,juros_emprestimo,num_emprestimos,dias_atraso,num_pagamentos_atrasados,divida_total,investimento_mensal,score_credito
30.0,34081.38,8.0,7.0,15.0,3.0,27.0,14.0,1704.18,2.932.636.371.091.450,Regular
30.0,34081.38,8.0,7.0,15.0,3.0,30.0,14.0,1704.18,2.932.636.371.091.450,Regular
30.0,34081.38,8.0,7.0,15.0,3.0,30.0,11.0,1704.18,2.932.636.371.091.450,Regular
30.0,34081.38,8.0,7.0,15.0,3.0,30.0,14.0,1704.18,2.932.636.371.091.450,Baixo
23.0,114838.41,2.0,5.0,7.0,3.0,13.0,11.0,1377.74,21.223.560.220.847.800,Alto
23.0,114838.41,2.0,5.0,7.0,3.0,14.0,8.0,1377.74,21.223.560.220.847.800,Alto
23.0,114838.41,2.0,5.0,7.0,3.0,11.0,11.0,1377.74,21.223.560.220.847.800,Alto
23.0,114838.41,2.0,5.0,7.0,3.0,11.0,14.0,1377.74,21.223.560.220.847.800,Alto
23.0,114838.41,2.0,5.0,7.0,3.0,11.0,11.0,1377.74,21.223.560.220.847.800,Regular
24.0,114838.41,2.0,5.0,7.0,3.0,13.0,14.0,1377.74,21.223.560.220.847.800,Alto
24.0,114838.41,2.0,5.0,7.0,3.0,11.0,11.0,1377.74,21.223.560.220.847.800,Alto
24.0,114838.41,2.0,5.0,7.0,3.0,11.0,11.0,1377.74,21.223.560.220.847.800,Regular
44.0,31370.8,0.0,5.0,12.0,2.0,4.0,0.0,421.43,2.229.805.714.008.660,Alto
44.0,31370.8,1.0,6.0,12.0,2.0,2.0,0.0,421.43,2.229.805.714.008.660,Alto
44.0,31370.8,1.0,6.0,12.0,2.0,1.0,0.0,421.43,2.229.805.714.008.660,Alto
44.0,31370.8,1.0,6.0,12.0,2.0,1.0,0.0,421.43,2.229.805.714.008.660,Alto
44.0,31370.8,1.0,6.0,12.0,2.0,1.0,0.0,421.43,2.229.805.714.008.660,Alto
44.0,31370.8,1.0,6.0,12.0,2.0,1.0,0.0,421.43,2.229.805.714.008.660,Alto
45.0,31370.8,1.0,6.0,12.0,2.0,1.0,2.0,421.43,2.229.805.714.008.660,Alto
45.0,31370.8,1.0,6.0,12.0,2.0,1.0,2.0,421.43,2.229.805.714.008.660,Alto
40.0,33751.27,5.0,5.0,20.0,3.0,16.0,20.0,1328.93,25.192.561.910.314.700,Regular
40.0,33751.27,5.0,5.0,20.0,3.0,16.0,20.0,1328.93,25.192.561.910.314.700,Regular
40.0,33751.27,5.0,5.0,20.0,3.0,16.0,20.0,1328.93,25.192.561.910.314.700,Regular
40.0,33751.27,5.0,5.0,20.0,3.0,17.0,22.0,1328.93,25.192.561.910.314.700,Regular
40.0,33751.27,5.0,5.0,20.0,3.0,16.0,20.0,1328.93,25.192.561.910.314.700,Regular
40.0,33751.27,5.0,5.0,20.0,3.0,16.0,20.0,1328.93,25.192.561.910.314.700,Regular
40.0,33751.27,5.0,5.0,20.0,3.0,16.0,20.0,1328.93,25.192.561.910.314.700,Regular
41.0,33751.27,5.0,5.0,20.0,3.0,16.0,17.0,1328.93,25.192.561.910.314.700,Regular
32.0,88640.24,3.0,6.0,1.0,2.0,4.0,0.0,950.36,7.784.134.310.772.480,Regular
33.0,88640.24,3.0,6.0,1.0,2.0,4.0,2.0,950.36,7.784.134.310.772.480,Alto
33.0,88640.24,3.0,6.0,1.0,2.0,4.0,0.0,950.36,7.784.134.310.772.480,Regular
33.0,88640.24,3.0,6.0,1.0,2.0,4.0,2.0,950.36,7.784.134.310.772.480,Regular
33.0,88640.24,3.0,6.0,1.0,2.0,4.0,2.0,950.36,7.784.134.310.772.480,Alto
33.0,88640.24,3.0,6.0,1.0,2.0,4.0,0.0,950.36,7.784.134.310.772.480,Alto
33.0,88640.24,3.0,6.0,1.0,2.0,4.0,2.0,950.36,7.784.134.310.772.480,Alto
33.0,88640.24,3.0,6.0,1.0,2.0,4.0,2.0,950.36,7.784.134.310.772.480,Alto
35.0,54392.16,6.0,4.0,14.0,3.0,10.0,8.0,179.22,33.349.568.589.344.500,Regular
35.0,54392.16,6.0,4.0,14.0,3.0,10.0,10.0,179.22,33.349.568.589.344.500,Regular
35.0,54392.16,6.0,4.0,14.0,3.0,15.0,11.0,179.22,33.349.568.589.344.500,Regular
35.0,54392.16,6.0,4.0,14.0,3.0,10.0,7.0,179.22,33.349.568.589.344.500,Regular
35.0,54392.16,6.0,4.0,14.0,3.0,10.0,8.0,179.22,33.349.568.589.344.500,Regular
35.0,54392.16,6.0,4.0,14.0,3.0,10.0,8.0,179.22,33.349.568.589.344.500,Regular
36.0,54392.16,6.0,4.0,14.0,3.0,10.0,8.0,179.22,33.349.568.589.344.500,Regular
36.0,54392.16,6.0,4.0,14.0,3.0,10.0,8.0,179.22,33.349.568.589.344.500,Regular
39.0,8.701.545,6.0,5.0,32.0,7.0,23.0,9.0,2602.69,13.066.209.919.444.300,Baixo
39.0,8.701.545,6.0,5.0,32.0,7.0,23.0,9.0,2602.69,13.066.209.919.444.300,Baixo
39.0,8.701.545,6.0,5.0,32.0,7.0,23.0,9.0,2602.69,13.066.209.919.444.300,Baixo
39.0,8.701.545,6.0,5.0,32.0,7.0,22.0,7.0,2602.69,13.066.209.919.444.300,Baixo
39.0,8.701.545,6.0,5.0,32.0,7.0,22.0,9.0,2602.69,13.066.209.919.444.300,Baixo
39.0,8.701.545,6.0,5.0,32.0,7.0,23.0,6.0,2602.69,13.066.209.919.444.300,Baixo
39.0,8.701.545,6.0,5.0,32.0,7.0,21.0,9.0,2602.69,13.066.209.919.444.300,Baixo
39.0,8.701.545,6.0,5.0,32.0,7.0,23.0,9.0,2602.69,13.066.209.919.444.300,Baixo
36.0,25546.26,8.0,7.0,14.0,5.0,16.0,14.0,758.44,1.935.620.844.123.390,Regular
37.0,25546.26,8.0,7.0,14.0,5.0,16.0,13.0,758.44,1.935.620.844.123.390,Regular
37.0,25546.26,8.0,7.0,14.0,5.0,16.0,10.0,758.44,1.935.620.844.123.390,Regular
37.0,25546.26,8.0,7.0,14.0,5.0,16.0,10.0,758.44,1.935.620.844.123.390,Regular
37.0,25546.26,8.0,7.0,14.0,5.0,16.0,13.0,758.44,1.935.620.844.123.390,Regular
37.0,25546.26,8.0,7.0,14.0,5.0,16.0,10.0,758.44,1.935.620.844.123.390,Regular
37.0,25546.26,8.0,7.0,14.0,5.0,16.0,14.0,758.44,1.935.620.844.123.390,Regular
37.0,25546.26,8.0,7.0,14.0,5.0,15.0,13.0,758.44,1.935.620.844.123.390,Regular
30.0,31993.78,6.0,6.0,7.0,2.0,8.0,14.0,818.22,2.327.102.220.438.630,Regular
30.0,31993.78,6.0,6.0,7.0,2.0,12.0,14.0,818.22,2.327.102.220.438.630,Regular
31.0,31993.78,6.0,6.0,7.0,2.0,8.0,14.0,818.22,2.327.102.220.438.630,Regular
30.0,31993.78,6.0,6.0,7.0,2.0,8.0,14.0,818.22,2.327.102.220.438.630,Regular
30.0,31993.78,6.0,6.0,7.0,2.0,8.0,14.0,818.22,2.327.102.220.438.630,Regular
31.0,31993.78,6.0,6.0,7.0,2.0,8.0,14.0,818.22,2.327.102.220.438.630,Regular
31.0,31993.78,6.0,6.0,7.0,2.0,8.0,16.0,818.22,2.327.102.220.438.630,Regular
31.0,31993.78,6.0,6.0,7.0,2.0,8.0,16.0,818.22,2.327.102.220.438.630,Regular
20.0,92047.08,6.0,7.0,16.0,0.0,16.0,11.0,1296.64,5.928.557.022.863.860,Regular
20.0,92047.08,6.0,7.0,16.0,0.0,16.0,11.0,1296.64,5.928.557.022.863.860,Regular
20.0,92047.08,6.0,7.0,16.0,0.0,18.0,11.0,1296.64,5.928.557.022.863.860,Regular
20.0,92047.08,6.0,7.0,16.0,0.0,16.0,11.0,1296.64,5.928.557.022.863.860,Baixo
20.0,92047.08,6.0,7.0,16.0,0.0,16.0,8.0,1296.64,5.928.557.022.863.860,Baixo
20.0,92047.08,6.0,7.0,16.0,0.0,16.0,13.0,1296.64,5.928.557.022.863.860,Baixo
20.0,92047.08,6.0,7.0,16.0,0.0,16.0,10.0,1296.64,5.928.557.022.863.860,Baixo
20.0,92047.08,6.0,7.0,16.0,0.0,16.0,11.0,1296.64,5.928.557.022.863.860,Baixo
45.0,32284.62,6.0,7.0,17.0,6.0,11.0,12.0,1283.37,35.793.568.414.159.600,Regular
46.0,32284.62,6.0,7.0,17.0,6.0,11.0,12.0,1283.37,35.793.568.414.159.600,Regular
46.0,32284.62,6.0,7.0,17.0,6.0,10.0,12.0,1283.37,35.793.568.414.159.600,Regular
46.0,32284.62,6.0,7.0,17.0,6.0,11.0,12.0,1283.37,35.793.568.414.159.600,Regular
46.0,32284.62,6.0,7.0,17.0,6.0,15.0,12.0,1283.37,35.793.568.414.159.600,Regular
46.0,32284.62,6.0,7.0,17.0,6.0,11.0,12.0,1283.37,35.793.568.414.159.600,Regular
46.0,32284.62,6.0,7.0,17.0,6.0,7.0,12.0,1283.37,35.793.568.414.159.600,Regular
46.0,32284.62,6.0,7.0,17.0,6.0,13.0,12.0,1283.37,35.793.568.414.159.600,Regular
26.0,97791.42,6.0,6.0,12.0,0.0,18.0,8.0,107.41,7.760.922.833.984.060,Regular
26.0,97791.42,6.0,6.0,12.0,0.0,18.0,8.0,107.41,7.760.922.833.984.060,Regular
26.0,97791.42,6.0,6.0,12.0,0.0,18.0,7.0,107.41,7.760.922.833.984.060,Regular
26.0,97791.42,6.0,6.0,12.0,0.0,19.0,8.0,107.41,7.760.922.833.984.060,Alto
26.0,97791.42,6.0,6.0,12.0,0.0,18.0,8.0,107.41,7.760.922.833.984.060,Alto
26.0,97791.42,6.0,6.0,12.0,0.0,16.0,8.0,107.41,7.760.922.833.984.060,Alto
26.0,97791.42,6.0,6.0,12.0,0.0,18.0,8.0,107.41,7.760.922.833.984.060,Regular
26.0,97791.42,6.0,6.0,12.0,0.0,18.0,8.0,107.41,7.760.922.833.984.060,Alto
31.0,19300.34,6.0,7.0,17.0,5.0,52.0,19.0,2430.21,4.450.950.984.607.400,Baixo
31.0,19300.34,6.0,7.0,17.0,5.0,51.0,18.0,2430.21,4.450.950.984.607.400,Baixo
31.0,19300.34,6.0,7.0,17.0,5.0,48.0,19.0,2430.21,4.450.950.984.607.400,Baixo
31.0,19300.34,6.0,7.0,17.0,5.0,51.0,19.0,2430.21,4.450.950.984.607.400,Regular
32.0,19300.34,6.0,7.0,17.0,5.0,51.0,19.0,2430.21,4.450.950.984.607.400,Baixo
32.0,19300.34,6.0,7.0,17.0,5.0,51.0,17.0,2430.21,4.450.950.984.607.400,Baixo
32.0,19300.34,6.0,7.0,17.0,5.0,51.0,19.0,2430.21,4.450.950.984.607.400,Baixo
32.0,19300.34,6.0,7.0,17.0,5.0,53.0,19.0,2430.21,4.450.950.984.607.400,Regular
41.0,19514.88,7.0,5.0,17.0,0.0,30.0,12.0,881.4,43.315.824.459.505.300,Regular
41.0,19514.88,7.0,5.0,17.0,0.0,30.0,14.0,881.4,43.315.824.459.505.300,Regular
41.0,19514.88,7.0,5.0,17.0,0.0,30.0,12.0,881.4,43.315.824.459.505.300,Regular
41.0,19514.88,7.0,5.0,17.0,0.0,30.0,12.0,881.4,43.315.824.459.505.300,Baixo
41.0,19514.88,7.0,5.0,17.0,0.0,30.0,12.0,881.4,43.315.824.459.505.300,Baixo
41.0,19514.88,7.0,5.0,17.0,0.0,30.0,12.0,881.4,43.315.824.459.505.300,Baixo
41.0,19514.88,7.0,5.0,17.0,0.0,30.0,15.0,881.4,43.315.824.459.505.300,Baixo
41.0,19514.88,7.0,5.0,17.0,0.0,26.0,11.0,881.4,43.315.824.459.505.300,Baixo
41.0,10.183.015,7.0,5.0,17.0,5.0,48.0,21.0,1672.43,14.622.739.235.117.400,Baixo
41.0,10.183.015,7.0,5.0,17.0,5.0,48.0,18.0,1672.43,14.622.739.235.117.400,Baixo
41.0,10.183.015,7.0,5.0,17.0,5.0,48.0,23.0,1672.43,14.622.739.235.117.400,Baixo
41.0,10.183.015,7.0,5.0,17.0,5.0,43.0,20.0,1672.43,14.622.739.235.117.400,Regular
41.0,10.183.015,7.0,5.0,17.0,5.0,51.0,21.0,1672.43,14.622.739.235.117.400,Baixo
42.0,10.183.015,7.0,5.0,17.0,5.0,48.0,24.0,1672.43,14.622.739.235.117.400,Baixo
42.0,10.183.015,7.0,5.0,17.0,5.0,52.0,21.0,1672.43,14.622.739.235.117.400,Baixo
42.0,10.183.015,7.0,5.0,17.0,5.0,48.0,21.0,1672.43,14.622.739.235.117.400,Baixo
19.0,106733.13,4.0,4.0,1.0,0.0,10.0,8.0,76.23,17.203.282.853.259.800,Alto
20.0,106733.13,4.0,4.0,1.0,0.0,5.0,7.0,76.23,17.203.282.853.259.800,Alto
20.0,106733.13,4.0,4.0,1.0,0.0,2.0,6.0,76.23,17.203.282.853.259.800,Alto
20.0,106733.13,4.0,4.0,1.0,0.0,5.0,7.0,76.23,17.203.282.853.259.800,Alto
20.0,106733.13,4.0,4.0,1.0,0.0,5.0,6.0,76.23,17.203.282.853.259.800,Alto
20.0,106733.13,4.0,4.0,1.0,0.0,5.0,6.0,76.23,17.203.282.853.259.800,Regular
20.0,106733.13,4.0,4.0,1.0,0.0,9.0,4.0,76.23,17.203.282.853.259.800,Regular
20.0,106733.13,4.0,4.0,1.0,0.0,7.0,6.0,76.23,17.203.282.853.259.800,Regular
31.0,12.600.445,5.0,5.0,10.0,3.0,28.0,19.0,569.8,0.0,Regular
31.0,12.600.445,5.0,5.0,10.0,3.0,25.0,18.0,569.8,0.0,Regular
31.0,12.600.445,5.0,5.0,10.0,3.0,25.0,16.0,569.8,0.0,Regular
32.0,12.600.445,5.0,5.0,10.0,3.0,25.0,18.0,569.8,0.0,Baixo
32.0,12.600.445,5.0,5.0,10.0,3.0,20.0,19.0,569.8,0.0,Baixo
32.0,12.600.445,5.0,5.0,10.0,3.0,25.0,19.0,569.8,0.0,Baixo
32.0,12.600.445,5.0,5.0,10.0,3.0,25.0,20.0,569.8,0.0,Baixo
32.0,12.600.445,5.0,5.0,10.0,3.0,25.0,19.0,569.8,0.0,Baixo
34.0,57983.12,9.0,8.0,31.0,8.0,47.0,19.0,3532.83,15.913.672.195.005.400,Baixo
34.0,57983.12,9.0,8.0,31.0,8.0,53.0,21.0,3532.83,15.913.672.195.005.400,Regular
34.0,57983.12,9.0,8.0,31.0,8.0,48.0,21.0,3532.83,15.913.672.195.005.400,Baixo
34.0,57983.12,9.0,8.0,31.0,8.0,48.0,22.0,3532.83,15.913.672.195.005.400,Baixo
34.0,57983.12,9.0,8.0,31.0,8.0,48.0,21.0,3532.83,15.913.672.195.005.400,Baixo
34.0,57983.12,9.0,8.0,31.0,8.0,46.0,21.0,3532.83,15.913.672.195.005.400,Regular
34.0,57983.12,9.0,8.0,31.0,8.0,49.0,21.0,3532.83,15.913.672.195.005.400,Regular
34.0,57983.12,9.0,8.0,31.0,8.0,48.0,24.0,3532.83,15.913.672.195.005.400,Baixo
48.0,20787.69,8.0,6.0,14.0,3.0,22.0,14.0,614.6,2.174.553.122.931.890,Regular
48.0,20787.69,8.0,6.0,14.0,3.0,24.0,14.0,614.6,2.174.553.122.931.890,Regular
48.0,20787.69,8.0,6.0,14.0,3.0,22.0,14.0,614.6,2.174.553.122.931.890,Regular
48.0,20787.69,8.0,6.0,14.0,3.0,22.0,12.0,614.6,2.174.553.122.931.890,Regular
48.0,20787.69,8.0,6.0,14.0,3.0,22.0,14.0,614.6,2.174.553.122.931.890,Regular
48.0,20787.69,8.0,6.0,14.0,3.0,22.0,14.0,614.6,2.174.553.122.931.890,Regular
48.0,20787.69,8.0,6.0,14.0,3.0,23.0,14.0,614.6,2.174.553.122.931.890,Regular
48.0,20787.69,8.0,6.0,14.0,3.0,22.0,14.0,614.6,2.174.553.122.931.890,Regular
30.0,34290.12,9.0,8.0,25.0,7.0,52.0,10.0,2686.81,5.045.037.518.047.940,Baixo
30.0,34290.12,9.0,8.0,25.0,7.0,47.0,9.0,2686.81,5.045.037.518.047.940,Regular
30.0,34290.12,9.0,8.0,25.0,7.0,52.0,6.0,2686.81,5.045.037.518.047.940,Regular
30.0,34290.12,9.0,8.0,25.0,7.0,52.0,7.0,2686.81,5.045.037.518.047.940,Baixo
30.0,34290.12,9.0,8.0,25.0,7.0,52.0,12.0,2686.81,5.045.037.518.047.940,Baixo
30.0,34290.12,9.0,8.0,25.0,7.0,52.0,12.0,2686.81,5.045.037.518.047.940,Baixo
30.0,34290.12,9.0,8.0,25.0,7.0,52.0,12.0,2686.81,5.045.037.518.047.940,Regular
30.0,34290.12,9.0,8.0,25.0,7.0,52.0,9.0,2686.81,5.045.037.518.047.940,Baixo
32.0,43070.24,3.0,3.0,18.0,1.0,11.0,8.0,1233.1,28.187.146.041.020.000,Regular
32.0,43070.24,3.0,3.0,18.0,1.0,13.0,8.0,1233.1,28.187.146.041.020.000,Regular
32.0,43070.24,3.0,3.0,18.0,1.0,15.0,8.0,1233.1,28.187.146.041.020.000,Regular
32.0,43070.24,3.0,3.0,18.0,1.0,11.0,8.0,1233.1,28.187.146.041.020.000,Regular
32.0,43070.24,3.0,3.0,18.0,1.0,10.0,8.0,1233.1,28.187.146.041.020.000,Regular
32.0,43070.24,3.0,3.0,18.0,1.0,8.0,8.0,1233.1,28.187.146.041.020.000,Regular
32.0,43070.24,3.0,3.0,18.0,1.0,11.0,8.0,1233.1,28.187.146.041.020.000,Regular
32.0,43070.24,3.0,3.0,18.0,1.0,11.0,8.0,1233.1,28.187.146.041.020.000,Regular
40.0,28572.39,6.0,3.0,15.0,3.0,25.0,12.0,400.07,2.599.346.229.581.730,Regular
40.0,28572.39,6.0,3.0,15.0,3.0,25.0,9.0,400.07,2.599.346.229.581.730,Regular
40.0,28572.39,6.0,3.0,15.0,3.0,28.0,10.0,400.07,2.599.346.229.581.730,Regular
40.0,28572.39,6.0,3.0,15.0,3.0,25.0,14.0,400.07,2.599.346.229.581.730,Regular
40.0,28572.39,6.0,3.0,15.0,3.0,25.0,12.0,400.07,2.599.346.229.581.730,Regular
40.0,28572.39,6.0,3.0,15.0,3.0,25.0,11.0,400.07,2.599.346.229.581.730,Regular
40.0,28572.39,6.0,3.0,15.0,3.0,25.0,13.0,400.07,2.599.346.229.581.730,Regular
40.0,28572.39,6.0,3.0,15.0,3.0,25.0,12.0,400.07,2.599.346.229.581.730,Regular
37.0,39641.54,10.0,8.0,25.0,6.0,61.0,13.0,2258.73,11.570.679.748.009.900,Baixo
37.0,39641.54,10.0,8.0,25.0,6.0,61.0,16.0,2258.73,11.570.679.748.009.900,Baixo
37.0,39641.54,10.0,8.0,25.0,6.0,61.0,15.0,2258.73,11.570.679.748.009.900,Baixo
37.0,39641.54,10.0,8.0,25.0,6.0,61.0,16.0,2258.73,11.570.679.748.009.900,Baixo
37.0,39641.54,10.0,8.0,25.0,6.0,61.0,16.0,2258.73,11.570.679.748.009.900,Regular
37.0,39641.54,10.0,8.0,25.0,6.0,61.0,16.0,2258.73,11.570.679.748.009.900,Baixo
37.0,39641.54,10.0,8.0,25.0,6.0,61.0,14.0,2258.73,11.570.679.748.009.900,Baixo
38.0,39641.54,10.0,8.0,25.0,6.0,61.0,13.0,2258.73,11.570.679.748.009.900,Baixo
54.0,20186.02,1.0,5.0,1.0,2.0,5.0,6.0,413.32,1.429.027.334.711.070,Alto
54.0,20186.02,1.0,5.0,1.0,2.0,5.0,6.0,413.32,1.429.027.334.711.070,Regular
55.0,20186.02,1.0,5.0,1.0,2.0,4.0,3.0,413.32,1.429.027.334.711.070,Alto
55.0,20186.02,1.0,5.0,1.0,2.0,5.0,6.0,413.32,1.429.027.334.711.070,Alto
55.0,20186.02,1.0,5.0,1.0,2.0,5.0,7.0,413.32,1.429.027.334.711.070,Regular
55.0,20186.02,1.0,5.0,1.0,2.0,5.0,7.0,413.32,1.429.027.334.711.070,Alto
55.0,20186.02,1.0,5.0,1.0,2.0,5.0,6.0,413.32,1.429.027.334.711.070,Regular
55.0,20186.02,1.0,5.0,1.0,2.0,5.0,6.0,413.32,1.429.027.334.711.070,Regular
43.0,18627.64,7.0,7.0,19.0,6.0,31.0,21.0,1793.54,2.434.618.840.548.100,Baixo
43.0,18627.64,7.0,7.0,19.0,6.0,31.0,21.0,1793.54,2.434.618.840.548.100,Baixo
43.0,18627.64,7.0,7.0,19.0,6.0,31.0,21.0,1793.54,2.434.618.840.548.100,Baixo
43.0,18627.64,7.0,7.0,19.0,6.0,31.0,22.0,1793.54,2.434.618.840.548.100,Regular
43.0,18627.64,7.0,7.0,19.0,6.0,31.0,21.0,1793.54,2.434.618.840.548.100,Baixo
43.0,18627.64,7.0,7.0,19.0,6.0,31.0,21.0,1793.54,2.434.618.840.548.100,Baixo
43.0,18627.64,7.0,7.0,19.0,6.0,26.0,21.0,1793.54,2.434.618.840.548.100,Baixo
44.0,18627.64,7.0,7.0,19.0,6.0,31.0,18.0,1793.54,2.434.618.840.548.100,Baixo
21.0,12.986.745,4.0,3.0,10.0,2.0,30.0,14.0,1489.49,16.286.719.355.483.000,Regular
21.0,12.986.745,4.0,3.0,10.0,2.0,29.0,17.0,1489.49,16.286.719.355.483.000,Regular
